IPCC_annex;C_group_IM24_sh;Country_code_A3;Name;ipcc_code_2006_for_standard_report;ipcc_code_2006_for_standard_report_name;Substance;fossil_bio;Y_1970;Y_1971;Y_1972;Y_1973;Y_1974;Y_1975;Y_1976;Y_1977;Y_1978;Y_1979;Y_1980;Y_1981;Y_1982;Y_1983;Y_1984;Y_1985;Y_1986;Y_1987;Y_1988;Y_1989;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022;Y_2023;Y_2024
Non-Annex_I;Middle_East;IRQ;Iraq;1.A.1.bc;Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries;CO2;fossil;584,9583251;584,9583251;634,7417807;659,6336749;790,3160206;905,4406568;1194,808212;1365,939844;1471,729978;1636,638395;1434,392303;1438,963318;1587,627692;2400,578793;2758,826081;2931,791814;2897,949646;2725,752346;3016,142838;3171,889531;2868,198391;2234,306522;2750,605512;3006,2655;3380,751939;3296,314819;3140,015511;3325,000089;3418,046566;3456,363877;3662,024003;3414,555703;3993,848053;3311,876856;3356,196331;3300,626699;3314,263316;2601,547707;3571,86817;3303,214921;3903,471495;4238,190746;4427,520727;4861,792117;11970,40048;11196,88573;12363,56854;13155,88471;13878,26574;14505,65245;12499,45567;13157,92964;14531,72948;16055,16442;16191,51986
Non-Annex_I;Middle_East;IRQ;Iraq;1.A.2;Manufacturing Industries and Construction;CO2;fossil;1472,902178;1472,902178;1588,376876;1908,352372;2052,80146;2789,268704;3618,783694;3431,137247;3758,082302;4638,706182;4100,510263;4133,88347;4961,974647;4539,91298;4878,948317;5769,201293;5652,949687;5983,006272;7607,386728;8317,37867;7795,170932;6893,377518;8680,656186;9602,930008;10353,94983;10161,63174;10305,9823;9802,86039;9761,280292;10084,98292;10459,70196;10853,38037;9819,203683;7042,142703;7456,601049;7000,644517;6742,561151;8050,523566;6722,785434;7093,797827;7545,149943;8373,228151;14109,30401;12198,70077;9081,434601;7944,186202;8728,583453;10201,42441;11851,50823;12682,49168;11413,16942;13107,11919;14645,73704;15509,81803;15925,97983
Non-Annex_I;Middle_East;IRQ;Iraq;1.A.3.a;Civil Aviation;CO2;fossil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;255,1119499;220,0339927;82,9114858;117,9891499;156,2561501;172,2004642;210,4674643;74,7031428;67,26653505;48,0472707;10,29366195;18,9962487;23,7796559;26,22391404;26,81045316
Non-Annex_I;Middle_East;IRQ;Iraq;1.A.3.b_noRES;Road Transportation no resuspension;CO2;fossil;2462,332029;2462,332029;2767,234303;2942,041267;3418,230079;4350,00615;5499,027149;6366,125104;7247,487486;8559,912037;9822,869607;11172,70172;13452,73906;13840,22739;14902,58181;16013,57669;16253,1052;17264,75867;18215,85333;20805,31134;21768,76921;18352,06624;23278,40448;24510,89574;24792,20746;24727,58493;24155,31654;23761,98138;24215,27091;24219,75022;26371,0508;28828,77986;27769,81293;21565,01343;24135,88409;26045,53016;25874,58649;25697,88007;24604,84438;25271,32731;27763,58235;29641,2541;33014,7291;31512,05445;24906,5048;23841,04553;24306,41762;27659,30902;32307,61349;34386,11918;28661,35259;35561,75685;40914,37726;43634,8211;44767,62201
Non-Annex_I;Middle_East;IRQ;Iraq;1.A.4;Residential and other sectors;CO2;fossil;2169,198106;2169,198106;2005,767953;2169,878518;2695,161967;3129,161977;3514,157151;3642,452446;3769,661364;3905,330419;4052,027063;3664,09128;3342,958924;3568,100745;3279,612795;3732,222665;4835,075805;5545,779538;5971,966979;6447,817883;6180,945545;3877,700148;4789,735043;5435,413162;6228,939967;5151,994826;5622,436432;5711,45912;5868,284037;5843,232929;6858,642305;7080,426296;7084,585222;6872,12815;7594,495735;9783,578957;10590,59161;11098,59288;12618,34;10457,99435;10864,18903;10972,77621;12073,8742;12073,55638;8884,624244;7209,69856;8053,789032;8976,767117;9277,787836;9401,972145;9452,589996;9709,03717;9417,937558;10044,14702;10304,90251
Non-Annex_I;Middle_East;IRQ;Iraq;1.B.2;Oil and Natural Gas;CO2;fossil;12096,54797;15903,55007;14537,72888;16926,7029;18164,99041;19771,03277;24990,50938;20023,23913;20953,30244;27467,90849;21654,35483;7604,814636;7936,845676;7581,249735;9271,661286;12143,51988;14353,73468;11623,01492;10716,93049;11326,1722;9572,259952;8289,5066;7455,524585;6611,03998;5757,454208;6055,088241;5845,703361;9628,378458;11128,44557;13257,37437;14418,02702;14671,69256;12948,89587;12708,82721;15491,99478;13987,54835;14381,18388;13392,65027;14485,63008;16448,71623;18146,89988;18729,50063;25730,75101;28290,44625;28803,27877;33429,75745;36135,92232;36842,57484;36729,21039;37108,83086;35765,36065;36891,95127;37156,67404;36786,33094;37773,59193
Non-Annex_I;Middle_East;IRQ;Iraq;2.A.1;Cement production;CO2;fossil;760,76;918,84;938,6;889,2;889,2;1180,66;1348,62;1565,98;2272,4;2519,4;2717;2766,4;2766,4;2766,4;3952;3952;3947,06;4831,32;4525,04;6175;6422;2430;1171,1;5640;6945;8190;715,2;746,3;862;846;830;2508;2882,26;807,5;1070;1293;1466,5;1903,5;2889,6;3073;3512;4180;4270;4752;3546;4000;5717,92;6193,110854;10593,72816;12022,16901;12467,43453;12912,70005;14426,60282;14410,32762;14579,86089
Non-Annex_I;Middle_East;IRQ;Iraq;2.A.2;Lime production;CO2;fossil;;;;;;;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;36,20331598;38,46856889;40,19414357;42,61791215;43,52467624;46,30284706;45;45;45;45;45;45;45;45;45;45
Non-Annex_I;Middle_East;IRQ;Iraq;2.A.3;Glass Production;CO2;fossil;0,495899;0,512795;0,52999;0,54756;0,565615;0,58423;0,60341;0,62305;0,64296;0,662895;0,68267;0,702315;0,721885;0,741245;0,760235;0,77882;0,796895;0,814685;0,832885;0,85241;0,873925;0,897645;0,923425;0,9511;0,980345;1,01089;1,04277;1,07597;1,11004;1,14443;1,17874;1,21294;1,24719;1,28152;1,316025;1,350885;1,38585;1,421175;1,458165;1,49853;1,54341;1,59339;1,64788;1,644988494;1,704233423;1,765612082;1,810052499;1,85561148;1,902317179;1,953782916;2,026145246;2,269335218;2,269335218;2,269335218;2,296033279
Non-Annex_I;Middle_East;IRQ;Iraq;2.A.4;Other Process Uses of Carbonates;CO2;fossil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000415;;;;;;;;;;
